time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
703	2.202000e+00	1.177861e+02	4.608869e+00	0	0
2656	2.202000e+00	1.059129e+02	4.488588e+00	0	0
4609	2.202000e+00	1.088869e+02	4.224084e+00	0	0
6563	2.202000e+00	1.002287e+02	4.087872e+00	0	0
8516	2.202000e+00	9.667063e+01	4.541356e+00	0	0
10469	2.202000e+00	9.173137e+01	4.726465e+00	0	0
12422	2.202000e+00	9.039805e+01	3.637242e+00	0	0
14375	2.202000e+00	1.030497e+02	1.997044e+00	0	0
16328	2.202000e+00	1.163140e+02	8.931593e-01	0	0
18281	2.201641e+00	1.356620e+02	2.136464e-01	0	0
20234	2.201359e+00	1.390406e+02	2.522150e-02	0	0
22188	2.202000e+00	1.419885e+02	1.458154e-01	0	0
24141	2.202000e+00	1.335398e+02	2.178427e-01	0	0
26094	2.202000e+00	1.349779e+02	3.039904e-01	0	0
28047	2.201641e+00	1.341417e+02	3.890833e-01	0	0
30000	2.201359e+00	1.269176e+02	4.708559e-01	0	0
31953	2.201641e+00	1.255981e+02	5.732285e-01	0	0
33906	2.201359e+00	1.320969e+02	5.854265e-01	0	0
35859	2.201641e+00	1.460360e+02	5.989509e-02	0	0
37813	2.201000e+00	1.686625e+02	-8.740845e-01	0	0
39766	2.201000e+00	1.805174e+02	-1.715841e+00	0	0
41719	2.201000e+00	1.800983e+02	-2.537686e+00	0	0
43672	2.201000e+00	1.770343e+02	-3.258611e+00	0	0
45625	2.201000e+00	1.740829e+02	-3.718445e+00	0	0
47578	2.201000e+00	1.768758e+02	-3.549893e+00	0	0
49531	2.201000e+00	1.710323e+02	-2.711700e+00	0	0
51484	2.201000e+00	1.758122e+02	-1.306396e+00	0	0
53438	2.201000e+00	1.872491e+02	2.623069e-01	0	0
55391	2.201000e+00	2.002814e+02	9.135556e-01	0	0
57344	2.201000e+00	2.138906e+02	8.130100e-01	0	0
59297	2.201000e+00	2.293156e+02	8.381206e-01	0	0
61250	2.201000e+00	2.373673e+02	8.430081e-01	0	0
63203	2.201000e+00	2.390227e+02	1.613679e+00	0	0
65156	2.201000e+00	2.445212e+02	3.078957e+00	0	0
67109	2.201000e+00	2.379934e+02	3.842323e+00	0	0
69063	2.201000e+00	2.366482e+02	4.026991e+00	0	0
71016	2.201000e+00	2.456480e+02	3.869748e+00	0	0
72969	2.201000e+00	2.468576e+02	3.640562e+00	0	0
74922	2.201000e+00	2.683944e+02	3.189969e+00	0	0
76875	2.201000e+00	2.888873e+02	2.424263e+00	0	0
78828	2.201000e+00	3.165771e+02	1.737296e+00	0	0
80781	2.201000e+00	3.249721e+02	1.698286e+00	0	0
82734	2.201000e+00	3.303668e+02	1.792197e+00	0	0
84688	2.201000e+00	3.303864e+02	1.831290e+00	0	0
86641	2.201000e+00	3.316413e+02	1.838979e+00	0	0
88594	2.201000e+00	3.313265e+02	1.812105e+00	0	0
90547	2.201000e+00	3.342247e+02	1.731962e+00	0	0
92500	2.201000e+00	3.625158e+02	1.668271e+00	0	0
94453	2.201000e+00	3.762028e+02	1.333361e+00	0	0
96406	2.201000e+00	3.996598e+02	8.752732e-01	0	0
98359	2.201000e+00	4.272100e+02	-1.909168e-01	0	0
100313	2.201000e+00	4.399800e+02	-2.414839e+00	0	0
102266	2.201000e+00	4.436287e+02	-3.603623e+00	0	0
104219	2.201000e+00	4.536320e+02	-4.309786e+00	0	0
106172	2.201000e+00	4.606984e+02	-4.778518e+00	0	0
108125	2.201000e+00	4.586841e+02	-4.580672e+00	0	0
110078	2.201000e+00	4.673213e+02	-3.798842e+00	0	0
112031	2.201000e+00	4.790826e+02	-2.551248e+00	0	0
113984	2.201000e+00	4.967603e+02	-9.123812e-01	0	0
115938	2.201000e+00	5.204508e+02	8.335537e-01	0	0
117891	2.201000e+00	5.420687e+02	1.628004e+00	0	0
119844	2.201000e+00	5.677448e+02	1.700553e+00	0	0
121797	2.201000e+00	5.801475e+02	1.417503e+00	0	0
123750	2.201000e+00	5.833436e+02	3.349425e+00	0	0
125703	2.201000e+00	6.011728e+02	8.642808e+00	0	0
127656	2.201000e+00	6.037118e+02	1.120015e+01	0	0
129609	2.201000e+00	6.031452e+02	1.136654e+01	0	0
131563	2.201000e+00	6.135747e+02	9.337316e+00	0	0
133516	2.201000e+00	6.283346e+02	4.826707e+00	0	0
135469	2.201000e+00	6.516553e+02	1.177166e+00	0	0
137422	2.201000e+00	6.690781e+02	1.690124e+00	0	0
139375	2.201000e+00	6.878148e+02	9.934947e-01	0	0
141328	2.201000e+00	7.009714e+02	-2.007892e+00	0	0
143281	2.201000e+00	6.993877e+02	-5.644360e+00	0	0
145234	2.201000e+00	6.886298e+02	-6.495423e+00	0	0
147188	2.201000e+00	6.829986e+02	-5.313548e+00	0	0
149141	2.201000e+00	6.739626e+02	-2.495770e+00	0	0
151094	2.201000e+00	6.527232e+02	2.325279e-01	0	0
153047	2.201000e+00	6.398166e+02	1.051914e+00	0	0
155000	2.201000e+00	6.326648e+02	1.153852e+00	0	0
156953	2.201000e+00	6.238714e+02	1.014028e+00	0	0
158906	2.201000e+00	6.116730e+02	1.587101e+00	0	0
160859	2.201000e+00	5.804667e+02	2.473477e+00	0	0
162813	2.201000e+00	5.547111e+02	1.591836e+00	0	0
164766	2.201000e+00	5.140540e+02	1.085621e+00	0	0
166719	2.201000e+00	4.702731e+02	1.155329e+00	0	0
168672	2.201000e+00	4.348255e+02	1.255154e+00	0	0
170625	2.201000e+00	4.000336e+02	1.612406e+00	0	0
172578	2.201000e+00	3.742951e+02	1.577806e+00	0	0
174531	2.201000e+00	3.531724e+02	1.275752e+00	0	0
176484	2.201000e+00	3.278262e+02	1.244761e+00	0	0
178438	2.201000e+00	3.124433e+02	1.279214e+00	0	0
180391	2.201000e+00	2.990396e+02	1.310031e+00	0	0
182344	2.201000e+00	2.713682e+02	1.345995e+00	0	0
184297	2.201000e+00	2.380344e+02	1.384421e+00	0	0
186250	2.201000e+00	2.044016e+02	1.425510e+00	0	0
188203	2.201000e+00	1.820894e+02	1.469374e+00	0	0
190156	2.201000e+00	1.626763e+02	1.513591e+00	0	0
192109	2.200635e+00	1.358322e+02	1.565968e+00	0	0
194063	2.200000e+00	1.320657e+02	1.589797e+00	0	0
196016	2.200366e+00	1.303899e+02	1.423499e+00	0	0
197969	2.201000e+00	1.220311e+02	1.162721e+00	0	0
199922	2.201000e+00	1.239617e+02	1.061303e+00	0	0
201875	2.201000e+00	1.189730e+02	1.070383e+00	0	0
203828	2.200634e+00	9.712480e+01	1.203601e+00	0	0
205781	2.200366e+00	9.876954e+01	1.454578e+00	0	0
