time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
234	2.212000e+00	-2.609666e+02	-2.211951e+00	0	0
2188	2.212000e+00	-2.752545e+02	-2.618634e+00	0	0
4141	2.212000e+00	-2.852752e+02	-3.010793e+00	0	0
6094	2.212000e+00	-2.899345e+02	-3.382316e+00	0	0
8047	2.212000e+00	-2.905096e+02	-3.730092e+00	0	0
10000	2.212000e+00	-2.806499e+02	-4.039026e+00	0	0
11953	2.212000e+00	-2.704671e+02	-4.171538e+00	0	0
13906	2.212000e+00	-2.697463e+02	-4.041730e+00	0	0
15859	2.212000e+00	-2.714921e+02	-3.691586e+00	0	0
17813	2.212000e+00	-2.826874e+02	-3.148984e+00	0	0
19766	2.212000e+00	-2.897287e+02	-2.445723e+00	0	0
21719	2.212000e+00	-3.080331e+02	-1.610466e+00	0	0
23672	2.212000e+00	-3.060445e+02	-6.787019e-01	0	0
25625	2.212000e+00	-3.182294e+02	1.642456e-03	0	0
27578	2.212000e+00	-3.104972e+02	-3.600991e-02	0	0
29531	2.212000e+00	-3.041432e+02	-2.460807e-02	0	0
31484	2.212000e+00	-2.972035e+02	-2.855056e-02	0	0
33438	2.212000e+00	-2.928309e+02	-2.010350e-02	0	0
35391	2.212000e+00	-2.838251e+02	-4.588389e-02	0	0
37344	2.212000e+00	-2.998990e+02	5.435112e-02	0	0
39297	2.212000e+00	-2.985930e+02	1.325267e+00	0	0
41250	2.212000e+00	-3.047347e+02	2.327327e+00	0	0
43203	2.212000e+00	-3.199139e+02	3.259327e+00	0	0
45156	2.212000e+00	-3.107051e+02	3.569647e+00	0	0
47109	2.212000e+00	-3.174020e+02	3.273276e+00	0	0
49063	2.212000e+00	-3.050636e+02	2.445920e+00	0	0
51016	2.212000e+00	-2.979850e+02	1.305962e+00	0	0
52969	2.212000e+00	-2.799966e+02	9.183634e-01	0	0
54922	2.212000e+00	-2.782696e+02	7.625674e-01	0	0
56875	2.212000e+00	-2.879106e+02	5.137909e-01	0	0
58828	2.212000e+00	-2.959422e+02	2.003178e-01	0	0
60781	2.212000e+00	-2.964891e+02	-2.567735e-02	0	0
62734	2.212000e+00	-3.081052e+02	-1.208921e-02	0	0
64688	2.212000e+00	-3.160351e+02	-1.474070e-02	0	0
66641	2.212000e+00	-3.146182e+02	-1.301277e-02	0	0
68594	2.212000e+00	-3.043821e+02	-1.250558e-02	0	0
70547	2.212000e+00	-2.954546e+02	-1.146778e-02	0	0
72500	2.212000e+00	-2.774436e+02	-1.129334e-02	0	0
74453	2.212000e+00	-2.742226e+02	-8.157396e-03	0	0
76406	2.211893e+00	-2.791346e+02	-1.619449e-02	0	0
78359	2.211000e+00	-2.845089e+02	-2.346213e-01	0	0
80313	2.211000e+00	-2.876334e+02	-7.007952e-01	0	0
82266	2.211107e+00	-3.026015e+02	-1.087429e+00	0	0
84219	2.212000e+00	-2.972934e+02	-1.410975e+00	0	0
86172	2.211893e+00	-2.982982e+02	-1.643885e+00	0	0
88125	2.211000e+00	-2.932123e+02	-1.818355e+00	0	0
90078	2.211000e+00	-2.833760e+02	-1.374451e+00	0	0
92031	2.211000e+00	-2.803231e+02	9.705490e-01	0	0
93984	2.211000e+00	-2.623085e+02	1.493134e+00	0	0
95938	2.211000e+00	-2.653693e+02	2.658422e-01	0	0
97891	2.211000e+00	-2.709035e+02	-1.021372e+00	0	0
99844	2.211000e+00	-2.740805e+02	-4.685609e-01	0	0
101797	2.211000e+00	-2.774747e+02	1.920133e-02	0	0
103750	2.211000e+00	-2.854959e+02	-1.228910e-01	0	0
105703	2.211000e+00	-2.875945e+02	-2.148978e+00	0	0
107656	2.211000e+00	-2.834128e+02	-3.727570e+00	0	0
109609	2.211000e+00	-2.721289e+02	-3.963654e+00	0	0
111563	2.211000e+00	-2.623153e+02	-2.685382e+00	0	0
113516	2.211000e+00	-2.511951e+02	-4.221825e-02	0	0
115469	2.211000e+00	-2.540762e+02	-2.515284e-02	0	0
117422	2.211000e+00	-2.587211e+02	1.732977e-01	0	0
119375	2.211000e+00	-2.611277e+02	6.340612e-01	0	0
121328	2.211000e+00	-2.703468e+02	1.069389e+00	0	0
123281	2.211000e+00	-2.763899e+02	1.608007e+00	0	0
125234	2.211000e+00	-2.784342e+02	1.641250e+00	0	0
127188	2.211000e+00	-2.733425e+02	3.339405e+00	0	0
129141	2.211000e+00	-2.647981e+02	4.355535e+00	0	0
131094	2.211000e+00	-2.601442e+02	4.846446e+00	0	0
133047	2.211000e+00	-2.466109e+02	4.751508e+00	0	0
135000	2.211000e+00	-2.457180e+02	4.081018e+00	0	0
136953	2.211000e+00	-2.481910e+02	2.900031e+00	0	0
