time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
313	2.289000e+00	-1.148948e+02	7.275347e-01	0	0
2266	2.289000e+00	-1.254563e+02	-5.448731e-01	0	0
4219	2.289000e+00	-1.338422e+02	-1.458968e-01	0	0
6172	2.289000e+00	-1.364698e+02	-4.827048e-01	0	0
8125	2.289000e+00	-1.392179e+02	4.848175e-01	0	0
10078	2.289000e+00	-1.372577e+02	4.280957e+00	0	0
12031	2.289000e+00	-1.260066e+02	-7.430396e-01	0	0
13984	2.288842e+00	-1.273978e+02	-5.976679e-02	0	0
15938	2.288000e+00	-1.255147e+02	-6.360728e-01	0	0
17891	2.288000e+00	-1.301319e+02	-2.286187e+00	0	0
19844	2.288000e+00	-1.360535e+02	-6.717978e-02	0	0
21797	2.288000e+00	-1.474062e+02	-3.249572e-01	0	0
23750	2.288000e+00	-1.484002e+02	-2.717557e-01	0	0
25703	2.288000e+00	-1.491061e+02	-3.390845e-01	0	0
27656	2.288000e+00	-1.507922e+02	-2.430256e-01	0	0
29609	2.288000e+00	-1.437359e+02	1.780012e-01	0	0
31563	2.288000e+00	-1.445167e+02	-4.187449e-01	0	0
33516	2.288000e+00	-1.263554e+02	-3.852079e-01	0	0
35469	2.288000e+00	-1.261891e+02	-3.599631e-01	0	0
37422	2.288000e+00	-1.343513e+02	-5.989316e-01	0	0
39375	2.288000e+00	-1.395600e+02	-1.516834e+00	0	0
41328	2.288000e+00	-1.488178e+02	-3.476720e-01	0	0
43281	2.288000e+00	-1.478767e+02	-4.617069e-01	0	0
45234	2.288000e+00	-1.528130e+02	-5.736757e-01	0	0
47188	2.288000e+00	-1.508305e+02	-6.772040e-02	0	0
49141	2.288000e+00	-1.431989e+02	4.224708e+00	0	0
51094	2.288000e+00	-1.404869e+02	4.323740e+00	0	0
53047	2.288000e+00	-1.446536e+02	-1.020335e+00	0	0
55000	2.288000e+00	-1.595367e+02	-6.903574e-02	0	0
56953	2.288000e+00	-2.008250e+02	-1.859026e+00	0	0
58906	2.288000e+00	-2.285263e+02	-8.336533e+00	0	0
60859	2.288000e+00	-2.298603e+02	2.432911e-01	0	0
62813	2.287840e+00	-2.120101e+02	-8.802564e-01	0	0
64766	2.287160e+00	-1.520635e+02	-5.606227e-01	0	0
66719	2.287841e+00	-7.446449e+01	-1.212178e+00	0	0
68672	2.287000e+00	1.638309e+01	8.127523e-01	0	0
